Origin,longitude_deg,latitude_deg
MVY,-70.6143035889,41.3931007385
DEC,-88.8656997680664,39.834598541259766
BLV,-89.835197,38.5452
ATY,-97.15470123,44.91400146
ESC,-87.0936965942,45.7226982117
ALS,-105.866997,37.434898
PVU,-111.72299957275,40.219200134277
ART,-76.02169799804688,43.99190139770508
IMT,-88.1145019531,45.8184013367
SHR,-106.9800033569336,44.76919937133789
HIB,-92.83899689,47.38660049
PAE,-122.2819977,47.90629959
RIW,-108.459999084,43.064201355
SLN,-97.6521987915039,38.79100036621094
DDC,-99.9655990600586,37.76340103149414
DIK,-102.802001953,46.7974014282
PSM,-70.8233032227,43.0778999329
EAR,-99.0068,40.727
OGD,-112.0120010376,41.195899963379
CYS,-104.8119965,41.15570068
MHK,-96.6707992553711,39.14099884033203
CNY,-109.7549973,38.75500107
OWB,-87.16680145,37.74010086
BKG,-93.200544,36.532082
SHD,-78.8964004517,38.2638015747
CIU,-84.47239685058594,46.25080108642578
GCK,-100.723999023,37.9275016785
CGI,-89.57080078125,37.22529983520508
PAH,-88.7738037109375,37.06079864501953
SAF,-106.088996887,35.617099762
USA,-80.709099,35.387798
MMH,-118.8379974,37.62409973
BFM,-88.06809997559999,30.626800537100003
COU,-92.21959686279295,38.81809997558594
IFP,-114.5593,35.1574
EAT,-120.207000732,47.3988990784
IAG,-78.94619750976562,43.1072998046875
JLN,-94.49829864501952,37.151798248291016
PBG,-73.46810150146484,44.6509017944336
LBL,-100.9599991,37.0442009
BFF,-103.5960007,41.87400055
LBF,-100.6839981,41.12620163
PGD,-81.9905014,26.92020035
ECP,-85.795414,30.357106
SWO,-97.08570098877,36.161201477051
UTM,-90.346702575684,34.680999755859
APN,-83.56030273,45.0780983
IPT,-76.92109680175781,41.241798400878906
DVL,-98.90879822,48.11420059
STC,-94.05989837646484,45.54660034179688
GRI,-98.30960083007812,40.96749877929688
HGR,-77.72949982,39.707901
HOB,-103.2170029,32.6875
FOD,-94.19259644,42.55149841
HYA,-70.28040314,41.66930008
BRD,-94.13809967,46.39830017
ISN,-103.641998291,48.177898407
UIN,-91.19460297,39.94269943
DRT,-100.927001953,29.3742008209
CDB,-162.72500610351562,55.20610046386719
XWA,-103.7506,48.2598
MWH,-119.3199997,47.20769882
PIB,-89.33709716796875,31.467100143432617
LCK,-82.927803,39.813801
UST,-81.339798,29.9592
MCW,-93.3312988281,43.157798767100005
OGS,-75.46549987790002,44.6819000244
JST,-78.83390045166016,40.31610107421875
PRC,-112.4199982,34.65449905
TBN,-92.14070129,37.74160004
TKI,-96.5888,33.1771
ENV,-114.03099823,40.7187004089
PUW,-117.110001,46.7439
HYS,-99.27320099,38.84220123
LAR,-105.6750030517578,41.31209945678711
VEL,-109.5100021,40.4408989
AZA,-111.6549988,33.30780029
ALW,-118.288002,46.09489822
ABR,-98.42179870605467,45.449100494384766
STS,-122.8130035,38.50899887
BIH,-118.363998413,37.3731002808
LBE,-79.40480042,40.27590179
SFB,-81.23750305175781,28.7775993347168
PPG,-170.710006714,-14.3310003281
YNG,-80.67910004,41.26070023
PGV,-77.38529968,35.6352005
JMS,-98.67819977,46.92969894
